page_loads,unique_visits,first_visits,returning_visits,Day,days_f
2146,1582,1430,152,Sunday,0
3621,2528,2297,231,Monday,1
3698,2630,2352,278,Tuesday,1
3667,2614,2327,287,Wednesday,1
3316,2366,2130,236,Thursday,1
2815,1863,1622,241,Friday,0
1658,1118,985,133,Saturday,0
2288,1656,1481,175,Sunday,0
3638,2586,2312,274,Monday,1
4462,3257,2989,268,Tuesday,1
4414,3175,2891,284,Wednesday,1
4315,3029,2743,286,Thursday,1
3323,2249,2033,216,Friday,0
1656,1180,1040,140,Saturday,0
2465,1806,1613,193,Sunday,0
4096,2873,2577,296,Monday,1
4474,3032,2720,312,Tuesday,1
4124,2849,2541,308,Wednesday,1
3514,2489,2239,250,Thursday,1
3005,2097,1856,241,Friday,0
2054,1436,1274,162,Saturday,0
2847,1913,1713,200,Sunday,0
4501,3181,2853,328,Monday,1
4603,3163,2804,359,Tuesday,1
4187,3014,2663,351,Wednesday,1
4343,2864,2545,319,Thursday,1
3565,2382,2100,282,Friday,0
2080,1457,1280,177,Saturday,0
3031,2089,1856,233,Sunday,0
4814,3339,2973,366,Monday,1
5040,3604,3217,387,Tuesday,1
5028,3515,3094,421,Wednesday,1
4658,3331,2955,376,Thursday,1
3624,2477,2148,329,Friday,0
2285,1619,1416,203,Saturday,0
3454,2346,2060,286,Sunday,0
5307,3717,3308,409,Monday,1
5135,3701,3280,421,Tuesday,1
5084,3611,3177,434,Wednesday,1
4650,3316,2940,376,Thursday,1
3571,2498,2170,328,Friday,0
2354,1661,1417,244,Saturday,0
3497,2508,2218,290,Sunday,0
5294,3737,3286,451,Monday,1
4643,3328,2905,423,Tuesday,1
4596,3279,2863,416,Wednesday,1
4162,3041,2657,384,Thursday,1
2933,2007,1728,279,Friday,0
2202,1496,1270,226,Saturday,0
3083,2204,1940,264,Sunday,0
4376,3057,2629,428,Monday,1
4704,3141,2739,402,Tuesday,1
4306,3200,2797,403,Wednesday,1
4178,3034,2627,407,Thursday,1
3236,2318,1975,343,Friday,0
2010,1536,1345,191,Saturday,0
2901,2141,1849,292,Sunday,0
4754,3325,2885,440,Monday,1
4417,3203,2793,410,Tuesday,1
4535,3351,2897,454,Wednesday,1
4274,3194,2758,436,Thursday,1
3382,2423,2061,362,Friday,0
2085,1488,1280,208,Saturday,0
3083,2215,1926,289,Sunday,0
4860,3559,3069,490,Monday,1
4893,3570,3133,437,Tuesday,1
4866,3544,3056,488,Wednesday,1
4584,3357,2899,458,Thursday,1
3914,2750,2361,389,Friday,0
2431,1716,1463,253,Saturday,0
3157,2369,2082,287,Sunday,0
5045,3615,3146,469,Monday,1
4746,3236,2821,415,Tuesday,1
4314,2919,2513,406,Wednesday,1
3663,2476,2162,314,Thursday,1
3270,2268,1931,337,Friday,0
2905,1976,1695,281,Saturday,0
4016,2832,2489,343,Sunday,0
5266,3877,3317,560,Monday,1
5795,4274,3700,574,Tuesday,1
5728,4217,3656,561,Wednesday,1
5293,3830,3295,535,Thursday,1
3934,2856,2479,377,Friday,0
3071,2165,1855,310,Saturday,0
3876,2984,2582,402,Sunday,0
5878,4375,3829,546,Monday,1
5712,4187,3635,552,Tuesday,1
5491,4074,3480,594,Wednesday,1
5144,3801,3247,554,Thursday,1
3880,2860,2418,442,Friday,0
2605,1838,1538,300,Saturday,0
3625,2650,2259,391,Sunday,0
4685,3478,3000,478,Monday,1
4891,3338,2861,477,Tuesday,1
4222,3053,2606,447,Wednesday,1
3691,2690,2275,415,Thursday,1
2748,1879,1559,320,Friday,0
1380,1011,836,175,Saturday,0
1474,1054,876,178,Sunday,0
2452,1715,1394,321,Monday,1
2298,1440,1159,281,Tuesday,1
1430,947,772,175,Wednesday,1
1002,667,522,145,Thursday,1
1486,1005,808,197,Friday,0
1345,941,781,160,Saturday,0
1453,948,765,183,Sunday,0
2173,1472,1228,244,Monday,1
2208,1424,1172,252,Tuesday,1
1381,955,773,182,Wednesday,1
1265,876,715,161,Thursday,1
1948,1288,1030,258,Friday,0
1742,1096,946,150,Saturday,0
1896,1409,1186,223,Sunday,0
3033,2062,1706,356,Monday,1
3445,2327,1942,385,Tuesday,1
3423,2384,1991,393,Wednesday,1
3319,2272,1922,350,Thursday,1
2783,1941,1663,278,Friday,0
1952,1240,1066,174,Saturday,0
2245,1611,1391,220,Sunday,0
3928,2518,2125,393,Monday,1
3810,2621,2239,382,Tuesday,1
3931,2656,2229,427,Wednesday,1
3523,2457,2069,388,Thursday,1
2943,1928,1640,288,Friday,0
1751,1237,1052,185,Saturday,0
2491,1762,1541,221,Sunday,0
3766,2665,2271,394,Monday,1
4194,2852,2423,429,Tuesday,1
4038,2916,2482,434,Wednesday,1
3891,2702,2334,368,Thursday,1
3111,2181,1897,284,Friday,0
1946,1414,1239,175,Saturday,0
2802,2010,1740,270,Sunday,0
3892,2841,2466,375,Monday,1
4172,3003,2592,411,Tuesday,1
4464,3280,2862,418,Wednesday,1
4377,3143,2679,464,Thursday,1
3734,2514,2129,385,Friday,0
2262,1657,1443,214,Saturday,0
3050,2122,1825,297,Sunday,0
4794,3366,2867,499,Monday,1
4936,3423,2922,501,Tuesday,1
5016,3500,3023,477,Wednesday,1
4489,3170,2753,417,Thursday,1
3505,2468,2075,393,Friday,0
2264,1679,1437,242,Saturday,0
3314,2435,2100,335,Sunday,0
5095,3619,3125,494,Monday,1
5525,3793,3272,521,Tuesday,1
5074,3689,3190,499,Wednesday,1
4571,3319,2810,509,Thursday,1
3570,2664,2253,411,Friday,0
2182,1565,1323,242,Saturday,0
3265,2277,1935,342,Sunday,0
4670,3297,2826,471,Monday,1
4764,3452,2957,495,Tuesday,1
4943,3526,3026,500,Wednesday,1
4790,3307,2811,496,Thursday,1
3604,2621,2241,380,Friday,0
2455,1823,1569,254,Saturday,0
3650,2690,2329,361,Sunday,0
5463,3975,3433,542,Monday,1
5884,4112,3542,570,Tuesday,1
5615,4019,3432,587,Wednesday,1
5289,3747,3186,561,Thursday,1
4434,2969,2486,483,Friday,0
2665,1977,1694,283,Saturday,0
3907,2906,2519,387,Sunday,0
5308,3778,3222,556,Monday,1
5773,4025,3490,535,Tuesday,1
5585,4060,3457,603,Wednesday,1
4783,3582,3049,533,Thursday,1
3893,2707,2259,448,Friday,0
2917,2048,1723,325,Saturday,0
3353,2468,2104,364,Sunday,0
5400,3824,3246,578,Monday,1
5395,3926,3350,576,Tuesday,1
5229,3859,3263,596,Wednesday,1
5371,3784,3204,580,Thursday,1
4185,3045,2559,486,Friday,0
2724,1988,1675,313,Saturday,0
3590,2620,2196,424,Sunday,0
5367,3771,3192,579,Monday,1
5440,3968,3387,581,Tuesday,1
5465,4043,3458,585,Wednesday,1
5318,3813,3262,551,Thursday,1
4225,2916,2462,454,Friday,0
2687,1975,1667,308,Saturday,0
3791,2786,2388,398,Sunday,0
5661,3949,3331,618,Monday,1
5759,4081,3487,594,Tuesday,1
5599,3983,3378,605,Wednesday,1
5103,3755,3184,571,Thursday,1
4313,2946,2446,500,Friday,0
2971,2011,1651,360,Saturday,0
3662,2693,2285,408,Sunday,0
5635,3985,3386,599,Monday,1
5581,3963,3359,604,Tuesday,1
5329,3761,3170,591,Wednesday,1
4553,3214,2710,504,Thursday,1
3423,2404,1988,416,Friday,0
2708,1807,1512,295,Saturday,0
3306,2266,1895,371,Sunday,0
5203,3692,3133,559,Monday,1
5712,4104,3456,648,Tuesday,1
5601,4015,3401,614,Wednesday,1
5486,4063,3430,633,Thursday,1
4178,3213,2697,516,Friday,0
2878,2153,1835,318,Saturday,0
4169,2903,2447,456,Sunday,0
6372,4485,3787,698,Monday,1
6240,4391,3698,693,Tuesday,1
6170,4409,3723,686,Wednesday,1
6071,4275,3586,689,Thursday,1
4682,3307,2741,566,Friday,0
3208,2291,1894,397,Saturday,0
4310,3144,2669,475,Sunday,0
6435,4694,3929,765,Monday,1
6299,4455,3769,686,Tuesday,1
6360,4512,3797,715,Wednesday,1
6349,4360,3664,696,Thursday,1
4660,3387,2845,542,Friday,0
3354,2420,2035,385,Saturday,0
4371,3189,2688,501,Sunday,0
6534,4731,3977,754,Monday,1
6832,4941,4161,780,Tuesday,1
6689,4870,4110,760,Wednesday,1
5849,4086,3450,636,Thursday,1
4247,3064,2562,502,Friday,0
3219,2360,1958,402,Saturday,0
4211,3210,2765,445,Sunday,0
6424,4752,4043,709,Monday,1
6223,4520,3818,702,Tuesday,1
6551,4768,4059,709,Wednesday,1
6343,4449,3770,679,Thursday,1
4696,3366,2824,542,Friday,0
3134,2239,1846,393,Saturday,0
3868,2844,2365,479,Sunday,0
6020,4482,3787,695,Monday,1
5705,4160,3490,670,Tuesday,1
5752,4016,3348,668,Wednesday,1
5181,3605,3008,597,Thursday,1
4269,2913,2404,509,Friday,0
2633,1818,1473,345,Saturday,0
3336,2376,1988,388,Sunday,0
5127,3587,2955,632,Monday,1
5449,3767,3149,618,Tuesday,1
5746,3956,3371,585,Wednesday,1
5115,3642,3046,596,Thursday,1
3995,2749,2243,506,Friday,0
2618,1884,1585,299,Saturday,0
2961,2117,1763,354,Sunday,0
4090,2913,2427,486,Monday,1
5201,3637,3073,564,Tuesday,1
5321,3797,3146,651,Wednesday,1
5219,3509,2887,622,Thursday,1
4017,2804,2338,466,Friday,0
2297,1629,1346,283,Saturday,0
3145,2226,1860,366,Sunday,0
4905,3419,2797,622,Monday,1
4747,3284,2701,583,Tuesday,1
4591,3317,2713,604,Wednesday,1
4431,3173,2652,521,Thursday,1
3608,2523,2068,455,Friday,0
2422,1673,1336,337,Saturday,0
3132,2145,1790,355,Sunday,0
4962,3377,2788,589,Monday,1
4881,3469,2862,607,Tuesday,1
5001,3425,2786,639,Wednesday,1
4635,3242,2614,628,Thursday,1
3545,2494,2066,428,Friday,0
2262,1490,1235,255,Saturday,0
2866,2034,1692,342,Sunday,0
4692,3261,2682,579,Monday,1
4602,3204,2660,544,Tuesday,1
4620,3101,2556,545,Wednesday,1
4475,2955,2386,569,Thursday,1
3564,2422,1954,468,Friday,0
2071,1370,1129,241,Saturday,0
2659,1840,1523,317,Sunday,0
4338,2963,2410,553,Monday,1
4531,3139,2566,573,Tuesday,1
4498,3022,2481,541,Wednesday,1
4128,2730,2210,520,Thursday,1
3132,2153,1721,432,Friday,0
1829,1264,1067,197,Saturday,0
2149,1517,1224,293,Sunday,0
3975,2691,2169,522,Monday,1
4046,2718,2180,538,Tuesday,1
3897,2745,2266,479,Wednesday,1
3871,2540,2072,468,Thursday,1
2630,1716,1353,363,Friday,0
1602,1104,900,204,Saturday,0
1960,1370,1141,229,Sunday,0
4143,2655,2171,484,Monday,1
4205,2789,2266,523,Tuesday,1
4193,2783,2255,528,Wednesday,1
3710,2536,2069,467,Thursday,1
3137,2203,1767,436,Friday,0
1834,1145,944,201,Saturday,0
2070,1473,1197,276,Sunday,0
4180,2852,2310,542,Monday,1
4038,2731,2226,505,Tuesday,1
3906,2667,2119,548,Wednesday,1
3580,2424,1940,484,Thursday,1
2948,2070,1708,362,Friday,0
1622,1121,924,197,Saturday,0
2179,1480,1214,266,Sunday,0
3906,2615,2146,469,Monday,1
3745,2596,2071,525,Tuesday,1
4212,2761,2205,556,Wednesday,1
3901,2595,2095,500,Thursday,1
3292,2207,1785,422,Friday,0
1819,1229,1016,213,Saturday,0
2068,1562,1286,276,Sunday,0
3991,2805,2243,562,Monday,1
4073,2862,2361,501,Tuesday,1
4069,2825,2324,501,Wednesday,1
3716,2629,2126,503,Thursday,1
3380,2120,1709,411,Friday,0
1737,1197,958,239,Saturday,0
2181,1567,1282,285,Sunday,0
3973,2794,2263,531,Monday,1
3997,2794,2269,525,Tuesday,1
4132,2798,2287,511,Wednesday,1
3791,2693,2204,489,Thursday,1
2968,2139,1738,401,Friday,0
1752,1266,1021,245,Saturday,0
2070,1497,1231,266,Sunday,0
3920,2684,2139,545,Monday,1
4106,2791,2266,525,Tuesday,1
4006,2726,2166,560,Wednesday,1
